tarih,istasyon,sicaklik_ort_c,bagil_nem_ort_yuzde,yagis_toplam_mm,basinc_ort_hpa,ruzgar_u_ort_ms,ruzgar_v_ort_ms,ruzgar_hizi_ort_ms,saat_sayisi
2024-04-19,alanya,15.460826,77.56005,0.3796994569711387,948.883,-0.12146187,1.030681,1.4634992,24
2024-04-20,alanya,13.604329,83.40906,14.491260051727295,947.5286,-0.898098,1.5319468,2.3451657,24
2024-04-21,alanya,14.109813,76.502396,0.08760392665863037,950.92236,-0.22189903,0.4804584,1.632646,24
2024-04-22,alanya,15.498993,75.12542,0.0020116567611694336,955.82697,0.5808881,-0.08129486,1.3601378,24
2024-04-23,alanya,18.17958,61.460297,0.0025548131361574633,955.9148,-0.3470281,-0.42542008,1.4359937,24
2024-04-24,alanya,21.543966,44.48936,0.0017306650761383935,950.5686,-0.95571965,-0.4771202,1.7824134,24
2024-04-25,alanya,23.321218,40.908184,0.06096362994867377,946.13354,-0.5422682,0.008328517,1.5945812,24
2024-04-26,alanya,20.877157,53.003098,0.0,946.852,-0.20443566,0.3817853,1.2134751,24
2024-04-27,alanya,18.475098,65.03903,0.038933755320158525,948.4515,-0.3962743,-0.58534646,1.6814786,24
2024-04-28,alanya,20.11323,66.754845,0.003823414544967818,949.5737,-0.26161957,-0.016988754,1.6728044,24
2024-04-29,alanya,19.66871,68.05505,0.0025779005454751314,949.7747,-0.1071612,-0.12877782,1.6566306,24
2024-04-30,alanya,19.562256,73.58525,4.213949008430973,948.9471,-0.422369,-0.7349598,1.7828768,24
2024-05-01,alanya,20.105509,72.35355,0.996279704850167,947.4997,-0.5626094,0.030561605,1.6821352,24
2024-05-02,alanya,18.621805,77.49203,0.6800770643167198,945.2236,0.08819262,0.12624311,1.6514908,24
2024-05-03,alanya,18.0837,71.49766,0.0,943.8227,0.7622426,-0.1562887,2.042625,24
2024-05-04,alanya,16.178946,80.647545,9.94072575122118,942.8951,0.28280893,1.2926656,1.9560674,24
2024-05-05,alanya,14.3619995,73.2996,7.45802465826273,943.13055,0.34840837,0.02295939,1.2631785,24
2024-05-06,alanya,15.339152,63.25717,1.0443031787872314,946.9819,0.32847914,-0.50161505,1.6488832,24
2024-05-07,alanya,15.436717,61.751312,0.0008702277796146518,950.63763,0.1674722,-0.20056915,1.9017249,24
2024-05-08,alanya,16.365072,73.50687,0.0023931265786814038,953.23145,-0.076908745,0.3631804,1.5481726,24
2024-05-09,alanya,16.678741,68.50539,0.0013619651326735038,950.92633,0.10747465,-0.33617756,1.4636675,24
2024-05-10,alanya,19.290487,59.318176,0.3661334631033242,945.7,-0.4455382,0.25441352,2.153187,24
2024-05-11,alanya,15.774791,82.80192,6.862342299427837,945.5129,-0.4170958,1.4109386,1.8706708,24
2024-05-12,alanya,16.140787,79.2817,6.366074085235596,946.5114,0.5210864,0.11276277,1.1527698,24
2024-05-13,alanya,16.61084,69.011696,2.635093405842781,946.4956,0.36898994,-0.330196,1.4162697,24
2024-05-14,alanya,16.113607,63.535732,4.6566128730773926e-07,948.43036,0.06955973,-0.12093369,1.8248132,24
2024-05-15,alanya,16.851807,69.8492,0.5697568412870169,951.37604,0.10584005,0.49371645,1.2862748,24
2024-05-16,alanya,17.39096,69.45655,0.2128830528818071,954.87555,0.7016652,-0.11864591,1.5997807,24
2024-05-17,alanya,18.559378,75.55456,0.0012949021765962243,955.4792,0.4735031,-0.10211575,1.5264292,24
2024-05-18,alanya,20.342072,71.684265,0.0,952.94684,0.48855782,0.08094553,1.481197,24
2024-05-19,alanya,20.703094,72.09333,0.000852346317969932,950.22833,0.07172712,-0.059360225,1.526338,24
2024-05-20,alanya,20.999949,72.901085,0.0,947.51666,0.28195572,0.022273183,1.4778461,24
2024-05-21,alanya,22.137482,71.6366,0.01395310118823545,948.8593,0.20625305,-0.21535115,1.7140619,24
2024-05-22,alanya,22.240835,71.71191,0.0008583068620282575,949.8391,0.048065186,-0.143079,1.6559016,24
2024-05-23,alanya,20.655344,74.450035,0.14138221740722656,947.2282,-0.45166907,1.0375661,2.0445044,24
2024-05-24,alanya,19.059448,66.1488,1.7070651083486155,944.5455,1.19074,-0.9685815,1.9546794,24
2024-05-25,alanya,19.726593,62.49844,2.184748649597168,946.1257,0.48698553,-0.31612015,1.5613416,24
2024-05-26,alanya,18.942932,73.28884,0.8023083209991455,948.237,-0.49558067,0.7385909,1.8439862,24
2024-05-27,alanya,19.57846,68.36895,2.9144943691790104,947.6258,0.7364178,-0.32744053,1.5197598,24
